"MEASURE","Measure","REGIONTYPE","Geography Level","ASGS_2016","Region","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"ERP","Estimated Resident Population","AUS","Australia","0","Australia","A","Annual","2016","2016",24210809,,
"ERP","Estimated Resident Population","STE","States and Territories","1","New South Wales","A","Annual","2016","2016",7739274,,
"ERP","Estimated Resident Population","GCCSA","Greater Capital City Statistical Areas","1GSYD","Greater Sydney","A","Annual","2016","2016",5029768,,
"ERP","Estimated Resident Population","SA4","Statistical Area Level 4","102","Central Coast","A","Annual","2016","2016",335309,,
"ERP","Estimated Resident Population","SA3","Statistical Area Level 3","10201","Gosford","A","Annual","2016","2016",173257,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","102011028","Avoca Beach - Copacabana","A","Annual","2016","2016",7546,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","102011029","Box Head - MacMasters Beach","A","Annual","2016","2016",10956,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","102011030","Calga - Kulnura","A","Annual","2016","2016",4811,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","102011031","Erina - Green Point","A","Annual","2016","2016",14240,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","102011032","Gosford - Springfield","A","Annual","2016","2016",19284,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","102011033","Kariong","A","Annual","2016","2016",6559,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","102011034","Kincumber - Picketts Valley","A","Annual","2016","2016",7429,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","102011035","Narara","A","Annual","2016","2016",6829,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","102011036","Niagara Park - Lisarow","A","Annual","2016","2016",8202,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","102011037","Point Clare - Koolewong","A","Annual","2016","2016",6329,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","102011038","Saratoga - Davistown","A","Annual","2016","2016",7142,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","102011039","Terrigal - North Avoca","A","Annual","2016","2016",13909,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","102011040","Umina - Booker Bay - Patonga","A","Annual","2016","2016",24037,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","102011041","Wamberal - Forresters Beach","A","Annual","2016","2016",10146,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","102011042","Woy Woy - Blackwall","A","Annual","2016","2016",14181,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","102011043","Wyoming","A","Annual","2016","2016",11657,,
"ERP","Estimated Resident Population","SA3","Statistical Area Level 3","10202","Wyong","A","Annual","2016","2016",162052,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","102021044","Bateau Bay - Killarney Vale","A","Annual","2016","2016",22412,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","102021045","Blue Haven - San Remo","A","Annual","2016","2016",11305,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","102021046","Budgewoi - Buff Point - Halekulani","A","Annual","2016","2016",9570,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","102021047","Chittaway Bay - Tumbi Umbi","A","Annual","2016","2016",15714,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","102021048","Gorokan - Kanwal - Charmhaven","A","Annual","2016","2016",22489,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","102021049","Jilliby - Yarramalong","A","Annual","2016","2016",3474,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","102021050","Lake Munmorah - Mannering Park","A","Annual","2016","2016",10984,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","102021051","Ourimbah - Fountaindale","A","Annual","2016","2016",4994,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","102021052","Summerland Point - Gwandalan","A","Annual","2016","2016",5844,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","102021053","The Entrance","A","Annual","2016","2016",15237,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","102021054","Toukley - Norah Head","A","Annual","2016","2016",9966,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","102021055","Tuggerah - Kangy Angy","A","Annual","2016","2016",5469,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","102021056","Warnervale - Wadalba","A","Annual","2016","2016",15573,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","102021057","Wyong","A","Annual","2016","2016",9021,,
"ERP","Estimated Resident Population","SA4","Statistical Area Level 4","115","Sydney - Baulkham Hills and Hawkesbury","A","Annual","2016","2016",235083,,
"ERP","Estimated Resident Population","SA3","Statistical Area Level 3","11501","Baulkham Hills","A","Annual","2016","2016",148761,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","115011290","Baulkham Hills (East)","A","Annual","2016","2016",23665,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","115011291","Baulkham Hills (West) - Bella Vista","A","Annual","2016","2016",20888,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","115011294","Glenhaven","A","Annual","2016","2016",6426,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","115011296","West Pennant Hills","A","Annual","2016","2016",13224,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","115011553","Castle Hill - Central","A","Annual","2016","2016",7908,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","115011554","Castle Hill - East","A","Annual","2016","2016",5780,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","115011555","Castle Hill - North","A","Annual","2016","2016",12314,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","115011556","Castle Hill - South","A","Annual","2016","2016",9877,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","115011557","Castle Hill - West","A","Annual","2016","2016",5371,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","115011558","Cherrybrook","A","Annual","2016","2016",19474,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","115011559","Kellyville","A","Annual","2016","2016",23834,,
"ERP","Estimated Resident Population","SA3","Statistical Area Level 3","11502","Dural - Wisemans Ferry","A","Annual","2016","2016",27076,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","115021297","Dural - Kenthurst - Wisemans Ferry","A","Annual","2016","2016",21705,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","115021298","Galston - Laughtondale","A","Annual","2016","2016",5371,,
"ERP","Estimated Resident Population","SA3","Statistical Area Level 3","11503","Hawkesbury","A","Annual","2016","2016",25165,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","115031299","Bilpin - Colo - St Albans","A","Annual","2016","2016",2745,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","115031300","Kurrajong Heights - Ebenezer","A","Annual","2016","2016",22420,,
"ERP","Estimated Resident Population","SA3","Statistical Area Level 3","11504","Rouse Hill - McGraths Hill","A","Annual","2016","2016",34081,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","115041301","Pitt Town - McGraths Hill","A","Annual","2016","2016",10779,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","115041302","Rouse Hill - Beaumont Hills","A","Annual","2016","2016",23302,,
"ERP","Estimated Resident Population","SA4","Statistical Area Level 4","116","Sydney - Blacktown","A","Annual","2016","2016",350356,,
"ERP","Estimated Resident Population","SA3","Statistical Area Level 3","11601","Blacktown","A","Annual","2016","2016",139391,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","116011303","Blacktown (East) - Kings Park","A","Annual","2016","2016",17600,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","116011304","Blacktown (North) - Marayong","A","Annual","2016","2016",18503,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","116011306","Doonside - Woodcroft","A","Annual","2016","2016",23426,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","116011307","Lalor Park - Kings Langley","A","Annual","2016","2016",25611,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","116011308","Seven Hills - Toongabbie","A","Annual","2016","2016",24788,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","116011560","Blacktown (South)","A","Annual","2016","2016",12744,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","116011561","Blacktown (West)","A","Annual","2016","2016",16719,,
"ERP","Estimated Resident Population","SA3","Statistical Area Level 3","11602","Blacktown - North","A","Annual","2016","2016",95745,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","116021309","Glenwood","A","Annual","2016","2016",16652,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","116021310","Parklea - Kellyville Ridge","A","Annual","2016","2016",33702,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","116021312","Riverstone - Marsden Park","A","Annual","2016","2016",17893,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","116021562","Acacia Gardens","A","Annual","2016","2016",3905,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","116021563","Quakers Hill","A","Annual","2016","2016",23593,,
"ERP","Estimated Resident Population","SA3","Statistical Area Level 3","11603","Mount Druitt","A","Annual","2016","2016",115220,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","116031313","Bidwill - Hebersham - Emerton","A","Annual","2016","2016",18970,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","116031314","Glendenning - Dean Park","A","Annual","2016","2016",8602,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","116031315","Hassall Grove - Plumpton","A","Annual","2016","2016",21243,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","116031316","Lethbridge Park - Tregear","A","Annual","2016","2016",21322,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","116031317","Mount Druitt - Whalan","A","Annual","2016","2016",23382,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","116031318","Prospect Reservoir","A","Annual","2016","2016",40,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","116031319","Rooty Hill - Minchinbury","A","Annual","2016","2016",21661,,
"ERP","Estimated Resident Population","SA4","Statistical Area Level 4","117","Sydney - City and Inner South","A","Annual","2016","2016",337069,,
"ERP","Estimated Resident Population","SA3","Statistical Area Level 3","11701","Botany","A","Annual","2016","2016",49169,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","117011320","Banksmeadow","A","Annual","2016","2016",21,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","117011321","Botany","A","Annual","2016","2016",11272,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","117011322","Mascot - Eastlakes","A","Annual","2016","2016",25736,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","117011323","Pagewood - Hillsdale - Daceyville","A","Annual","2016","2016",11931,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","117011324","Port Botany Industrial","A","Annual","2016","2016",7,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","117011325","Sydney Airport","A","Annual","2016","2016",202,,
"ERP","Estimated Resident Population","SA3","Statistical Area Level 3","11702","Marrickville - Sydenham - Petersham","A","Annual","2016","2016",57574,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","117021326","Marrickville","A","Annual","2016","2016",27924,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","117021327","Petersham - Stanmore","A","Annual","2016","2016",21314,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","117021328","Sydenham - Tempe - St Peters","A","Annual","2016","2016",8336,,
"ERP","Estimated Resident Population","SA3","Statistical Area Level 3","11703","Sydney Inner City","A","Annual","2016","2016",230326,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","117031329","Darlinghurst","A","Annual","2016","2016",12202,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","117031330","Erskineville - Alexandria","A","Annual","2016","2016",17340,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","117031331","Glebe - Forest Lodge","A","Annual","2016","2016",20814,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","117031332","Newtown - Camperdown - Darlington","A","Annual","2016","2016",26297,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","117031333","Potts Point - Woolloomooloo","A","Annual","2016","2016",22990,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","117031334","Pyrmont - Ultimo","A","Annual","2016","2016",23339,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","117031335","Redfern - Chippendale","A","Annual","2016","2016",24207,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","117031336","Surry Hills","A","Annual","2016","2016",17844,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","117031337","Sydney - Haymarket - The Rocks","A","Annual","2016","2016",29970,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","117031338","Waterloo - Beaconsfield","A","Annual","2016","2016",35323,,
"ERP","Estimated Resident Population","SA4","Statistical Area Level 4","118","Sydney - Eastern Suburbs","A","Annual","2016","2016",285418,,
"ERP","Estimated Resident Population","SA3","Statistical Area Level 3","11801","Eastern Suburbs - North","A","Annual","2016","2016",136152,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","118011339","Bondi - Tamarama - Bronte","A","Annual","2016","2016",20097,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","118011340","Bondi Beach - North Bondi","A","Annual","2016","2016",22559,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","118011341","Bondi Junction - Waverly","A","Annual","2016","2016",17924,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","118011342","Centennial Park","A","Annual","2016","2016",3,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","118011343","Double Bay - Bellevue Hill","A","Annual","2016","2016",26781,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","118011344","Dover Heights","A","Annual","2016","2016",11526,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","118011345","Paddington - Moore Park","A","Annual","2016","2016",16411,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","118011346","Rose Bay - Vaucluse - Watsons Bay","A","Annual","2016","2016",12685,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","118011347","Woollahra","A","Annual","2016","2016",8166,,
"ERP","Estimated Resident Population","SA3","Statistical Area Level 3","11802","Eastern Suburbs - South","A","Annual","2016","2016",149266,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","118021348","Coogee - Clovelly","A","Annual","2016","2016",27325,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","118021350","Malabar - La Perouse - Chifley","A","Annual","2016","2016",25405,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","118021564","Kensington (NSW)","A","Annual","2016","2016",15748,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","118021565","Kingsford","A","Annual","2016","2016",16471,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","118021566","Maroubra - North","A","Annual","2016","2016",10365,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","118021567","Maroubra - South","A","Annual","2016","2016",11293,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","118021568","Maroubra - West","A","Annual","2016","2016",10833,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","118021569","Randwick - North","A","Annual","2016","2016",17880,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","118021570","Randwick - South","A","Annual","2016","2016",13946,,
"ERP","Estimated Resident Population","SA4","Statistical Area Level 4","119","Sydney - Inner South West","A","Annual","2016","2016",598454,,
"ERP","Estimated Resident Population","SA3","Statistical Area Level 3","11901","Bankstown","A","Annual","2016","2016",178409,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","119011354","Bass Hill - Georges Hall","A","Annual","2016","2016",22770,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","119011355","Chullora","A","Annual","2016","2016",915,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","119011356","Condell Park","A","Annual","2016","2016",11844,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","119011357","Greenacre - Mount Lewis","A","Annual","2016","2016",27280,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","119011358","Padstow","A","Annual","2016","2016",17012,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","119011359","Panania - Milperra - Picnic Point","A","Annual","2016","2016",26461,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","119011360","Revesby","A","Annual","2016","2016",16800,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","119011361","Yagoona - Birrong","A","Annual","2016","2016",21505,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","119011571","Bankstown - North","A","Annual","2016","2016",17057,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","119011572","Bankstown - South","A","Annual","2016","2016",16765,,
"ERP","Estimated Resident Population","SA3","Statistical Area Level 3","11902","Canterbury","A","Annual","2016","2016",141819,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","119021362","Belmore - Belfield","A","Annual","2016","2016",19984,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","119021363","Canterbury (South) - Campsie","A","Annual","2016","2016",32017,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","119021364","Kingsgrove (North) - Earlwood","A","Annual","2016","2016",25014,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","119021366","Punchbowl","A","Annual","2016","2016",21693,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","119021367","Roselands","A","Annual","2016","2016",14208,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","119021573","Lakemba","A","Annual","2016","2016",18056,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","119021574","Wiley Park","A","Annual","2016","2016",10847,,
"ERP","Estimated Resident Population","SA3","Statistical Area Level 3","11903","Hurstville","A","Annual","2016","2016",132733,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","119031368","Hurstville","A","Annual","2016","2016",24845,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","119031369","Mortdale - Penshurst","A","Annual","2016","2016",24794,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","119031370","Narwee - Beverly Hills","A","Annual","2016","2016",14337,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","119031371","Oatley - Hurstville Grove","A","Annual","2016","2016",13214,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","119031372","Peakhurst - Lugarno","A","Annual","2016","2016",18571,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","119031373","Riverwood","A","Annual","2016","2016",11724,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","119031374","South Hurstville - Blakehurst","A","Annual","2016","2016",25248,,
"ERP","Estimated Resident Population","SA3","Statistical Area Level 3","11904","Kogarah - Rockdale","A","Annual","2016","2016",145493,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","119041375","Arncliffe - Bardwell Valley","A","Annual","2016","2016",22911,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","119041376","Bexley","A","Annual","2016","2016",27881,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","119041377","Kingsgrove (South) - Bardwell Park","A","Annual","2016","2016",13299,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","119041378","Kogarah","A","Annual","2016","2016",11901,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","119041379","Kogarah Bay - Carlton - Allawah","A","Annual","2016","2016",16741,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","119041380","Monterey - Brighton-le-Sands - Kyeemagh","A","Annual","2016","2016",14728,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","119041381","Rockdale - Banksia","A","Annual","2016","2016",21180,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","119041382","Sans Souci - Ramsgate","A","Annual","2016","2016",16852,,
"ERP","Estimated Resident Population","SA4","Statistical Area Level 4","120","Sydney - Inner West","A","Annual","2016","2016",308268,,
"ERP","Estimated Resident Population","SA3","Statistical Area Level 3","12001","Canada Bay","A","Annual","2016","2016",89595,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","120011383","Concord - Mortlake - Cabarita","A","Annual","2016","2016",22706,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","120011384","Concord West - North Strathfield","A","Annual","2016","2016",26116,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","120011385","Drummoyne - Rodd Point","A","Annual","2016","2016",19276,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","120011386","Five Dock - Abbotsford","A","Annual","2016","2016",21497,,
"ERP","Estimated Resident Population","SA3","Statistical Area Level 3","12002","Leichhardt","A","Annual","2016","2016",59540,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","120021387","Balmain","A","Annual","2016","2016",16650,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","120021388","Leichhardt - Annandale","A","Annual","2016","2016",27957,,
"ERP","Estimated Resident Population","SA2","Statistical Area Level 2","120021389","Lilyfield - Rozelle","A","Annual","2016","2016",14933,,
